model_size,Attention,FFN,Blockwise,None
large/40layers,20445147648.0,20288144384.0,20288144384.0,23434670592.0
large/41layers,20891875840.0,20682449920.0,20688741376.0,23935322624.0
large/42layers,21252620800.0,21022229504.0,21028520960.0,24379351552.0
large/43layers,21634337280.0,21382980608.0,21391369216.0,
large/44layers,22047511040.0,21810840576.0,21810840576.0,
large/45layers,22495287808.0,22230311936.0,22230311936.0,
large/46layers,22945161728.0,22640346112.0,22649783296.0,
large/47layers,23416007168.0,23055623168.0,23068206080.0,
large/48layers,23853298176.0,23469851648.0,23484531712.0,
large/49layers,24278006272.0,23870448640.0,23893517312.0,
large/50layers,,,,
large/51layers,,,,
xlarge,,,,
